source_file,operation_type,taxi_path,total_distance,num_segments,avg_length,max_length,turn_count,taxi_time
SGX999_3a9a82fb.csv,Landing,L-G,3774.770910066806,2,1887.385455033403,2985.5019695250094,1,216.0
TJ849_3b8f088a.csv,Landing,Q,2269.6742922846474,1,2269.6742922846474,2269.6742922846474,0,9.0
EJA483_3b7284b5.csv,Takeoff,$UNK-Q,5193.028166125326,2,2596.514083062663,2923.3538738406783,1,258.0
EJA914_3b5e8d2f.csv,Takeoff,Q-G-L,6044.445202351453,3,2014.8150674504843,2985.5019695250094,2,251.0
KPO129_3b206448.csv,Takeoff,L,2985.5019695250094,1,2985.5019695250094,2985.5019695250094,0,173.0
KPO129_3b6c37dd.csv,Takeoff,L,2985.5019695250094,1,2985.5019695250094,2985.5019695250094,0,32.0
KPO129_3b7052e0.csv,Takeoff,L,2985.5019695250094,1,2985.5019695250094,2985.5019695250094,0,35.0
SGX999_3a9dffce.csv,Takeoff,P,955.7991033791228,1,955.7991033791228,955.7991033791228,0,23.0
SGX999_3b68ca9f.csv,Takeoff,L-Q,5255.176261809656,2,2627.588130904828,2985.5019695250094,1,151.0
WWI72_3b6f4fe9.csv,Takeoff,Q,2269.6742922846474,1,2269.6742922846474,2269.6742922846474,0,147.0
WWI72_3b9a272c.csv,Takeoff,L,2985.5019695250094,1,2985.5019695250094,2985.5019695250094,0,377.0
